gate,original_summary,reaudit_class,bug_status,correct_interpretation
NS-G1,failed,REGISTERED_CONSTRUCT_FAILURE_CONFIRMED,no numerical bug found,"The frozen GFW/BTS timing rule and mismatched annual cargo-versus-container-call check failed and the numerical result reproduces exactly. The timing rule selects the peak cross-correlation of autocorrelated level series, so it is a brittle construct-validity test rather than evidence of a coding error. This closes that registered queue proxy; it does not invalidate directly observed speed, time, or physical presence."
NS-G2,failed/not passed,UPSTREAM_BLOCKED_NOT_INDEPENDENTLY_FIRED,programme-status overreach,"The operational relocation extension was not admissibly fired after NS-G1. Cargo-presence accounting remains descriptive evidence, not a failed causal estimate."
NS-G3,failed,REGISTERED_FAILURE_CONFIRMED,no implementation bug found,"The held-out gate genuinely failed: stationary-hours error 11.726%, berth-share error -10.916 percentage points, and class-by-control emissions were not identifiable from published marginal tables."
NS-G4,failed feasibility,SCIENTIFIC_FAILURE_INVALIDATED_BY_ACQUISITION_BUG,wrong official access path,"The frozen SCAQMD latest-chart acquisition returned no 2020-2024 values, but CARB AQview independently reports 35,085 hourly NO2 records in that window; the retained site response itself links to a separate HistoricalSearch path. The old retrieval remains closed; historical feasibility requires a new independently frozen acquisition."
NS-G5,failed/not passed,UPSTREAM_BLOCKED_NOT_FIRED,incorrectly inherited NS-G4 failure,Baseline resident/workplace disparity was descriptive. Policy-attributable equity was never estimated because the environmental contrast was unavailable.
NS-G6,both intervention routes failed,MIXED_REAL_QUEUE_FAILURE_AND_INVALID_ATBERTH_MEASUREMENT,At-Berth call unit and geometry mismatch,"The queue route genuinely failed its exact registered timing rule. The At-Berth run also correctly failed its frozen algorithm, but that algorithm counted >24-hour gaps inside truncated port tracks against one sea-to-anchorage/berth official arrival and did not use the frozen tanker-terminal points in the primary geometry gate. Its broader infeasibility conclusion is invalid."
NS-G7,failed,REGISTERED_FAILURE_CONFIRMED,original index bug corrected before the valid run,"The corrected run genuinely failed approach and placebo specificity despite a 92.5% near-port low-speed increase. It supports disruption-associated accumulation, not the same relocation mechanism."
NS-G8,failed/not passed,NOT_FIRED_AND_FINAL_AUDIT_MAPPING_BUG,mapped to economics_model_authorized,"No out-of-sample policy simulator was built or tested. The original final audit used the economics feasibility flag as NS-G8 evidence, which is conceptually wrong."
NS-G9,failed,OUTCOME_BLIND_FEASIBILITY_CLOSURE_CONFIRMED,no protected outcome opened,The optional product-price extension appropriately stopped because no validated policy-specific shock survived and the generic bridge overlaps current deposited work.
NS-G10,failed/not passed,UPSTREAM_BLOCKED_NOT_FIRED,logical conjunction summarized as scientific failure,No integrated model was fired. The gate is unready because upstream mechanisms are unvalidated; there is no independent negative integration result.
