complex_id,population_inclusion_reason,official_source,official_metric,unit,cargo_scope,facility_scope,time_coverage,frequency,publication_lag_days,ais_metric_matched,geographic_crosswalk,transformations,primary_or_secondary,data_access_date,source_hash
san_pedro_bay,top-US container gateway; monthly TEU + vessel calls published,POLA (Port of Los Angeles) container statistics; POLB (Port of Long Beach) statistics,container_vessel_calls,calls,containerized,container terminals,2015-2025,monthly,45,reconstructed_container_vessel_calls,port_complex_crosswalk.csv san_pedro_bay = POLA + POLB terminals,deseasonalize; log; align arrival month,primary,,
san_pedro_bay,top-US container gateway; monthly TEU published,POLA + POLB monthly TEU (loaded+empty; import+export),container_TEU_total,TEU,containerized,container terminals,2015-2025,monthly,45,capacity_weighted_arrivals_deck_area,port_complex_crosswalk.csv san_pedro_bay = POLA + POLB terminals,deseasonalize; log; arrival-to-handling lag test,secondary,,
new_york_new_jersey,top-3 US container gateway; monthly TEU published,PANYNJ (Port Authority of NY & NJ) port statistics,container_vessel_calls,calls,containerized,container terminals,2015-2025,monthly,45,reconstructed_container_vessel_calls,port_complex_crosswalk.csv new_york_new_jersey = PANYNJ container terminals,deseasonalize; log,primary,,
new_york_new_jersey,top-3 US container gateway; monthly TEU published,PANYNJ monthly TEU,container_TEU_total,TEU,containerized,container terminals,2015-2025,monthly,45,capacity_weighted_arrivals_deck_area,port_complex_crosswalk.csv new_york_new_jersey = PANYNJ container terminals,deseasonalize; log,secondary,,
savannah_ga,top-4 US container gateway; monthly TEU published,Georgia Ports Authority (Port of Savannah) monthly TEU,container_TEU_total,TEU,containerized,Garden City + Ocean terminals,2015-2025,monthly,30,capacity_weighted_arrivals_deck_area,port_complex_crosswalk.csv savannah_ga,deseasonalize; log,primary,,
norfolk_newport_news_va,major US container gateway; monthly TEU + calls published,Port of Virginia monthly TEU and vessel calls,container_vessel_calls,calls,containerized,VIG + NIT + PMT terminals,2015-2025,monthly,30,reconstructed_container_vessel_calls,port_complex_crosswalk.csv norfolk_newport_news_va = Port of Virginia terminals,deseasonalize; log,primary,,
norfolk_newport_news_va,major US container gateway; monthly TEU published,Port of Virginia monthly TEU,container_TEU_total,TEU,containerized,VIG + NIT + PMT terminals,2015-2025,monthly,30,capacity_weighted_arrivals_deck_area,port_complex_crosswalk.csv norfolk_newport_news_va,deseasonalize; log,secondary,,
houston_tx,major US container gateway (also large energy port); monthly container TEU published,Port Houston monthly container statistics,container_TEU_total,TEU,containerized,Barbours Cut + Bayport container terminals,2015-2025,monthly,30,capacity_weighted_arrivals_deck_area,port_complex_crosswalk.csv houston_tx CONTAINER terminals only (exclude energy/liquid docks in the polygon),deseasonalize; log; restrict AIS to container terminals,primary,,
charleston_sc,major US container gateway; monthly TEU published,SC Ports Authority (Port of Charleston) monthly TEU,container_TEU_total,TEU,containerized,Wando Welch + Leatherman + North Charleston terminals,2015-2025,monthly,30,capacity_weighted_arrivals_deck_area,port_complex_crosswalk.csv charleston_sc,deseasonalize; log,primary,,
baltimore_md,US container + roro gateway; monthly TEU published,Maryland Port Administration (Port of Baltimore) monthly container,container_TEU_total,TEU,containerized,Seagirt Marine Terminal,2015-2025,monthly,45,capacity_weighted_arrivals_deck_area,port_complex_crosswalk.csv baltimore_md Seagirt only (exclude roro/bulk in polygon),deseasonalize; log; 2024 Key Bridge closure flagged,secondary,,
philadelphia_pa,US container gateway; monthly TEU published,PhilaPort (Port of Philadelphia) monthly container,container_TEU_total,TEU,containerized,Packer Ave + Holt terminals,2015-2025,monthly,45,capacity_weighted_arrivals_deck_area,port_complex_crosswalk.csv philadelphia_pa,deseasonalize; log,secondary,,
jacksonville_fl,US container + roro/transshipment gateway; monthly TEU published,JAXPORT (Jacksonville) monthly container TEU,container_TEU_total,TEU,containerized,Blount Island + Dames Point terminals,2015-2025,monthly,45,capacity_weighted_arrivals_deck_area,port_complex_crosswalk.csv jacksonville_fl container terminals (exclude roro/vehicle),deseasonalize; log; transshipment share flagged,secondary,,
miami_fl,US container + cruise gateway; monthly TEU published,PortMiami (Miami-Dade) monthly container TEU,container_TEU_total,TEU,containerized,PortMiami container terminals (exclude cruise berths),2015-2025,monthly,60,capacity_weighted_arrivals_deck_area,port_complex_crosswalk.csv miami_fl container terminals (exclude cruise),deseasonalize; log; exclude passenger vessels,secondary,,
port_everglades_fl,US container + cruise/transshipment gateway; monthly TEU published,Port Everglades (Broward County) monthly container TEU,container_TEU_total,TEU,containerized,Port Everglades Southport container terminals,2015-2025,monthly,60,capacity_weighted_arrivals_deck_area,port_complex_crosswalk.csv port_everglades_fl container terminals (exclude cruise/petroleum),deseasonalize; log; transshipment + cruise flagged,secondary,,
