dataset_id,plan_section,gate,description,source_org,access_method,endpoint_or_url,auth,resolution,status,notes
official_container_calls_annual,§5,NS-G1,Annual container-vessel calls (primary comparator) 11 gateways 2020-2023,BTS Port Performance 5rpz-kgm9,socrata_api,https://data.bts.gov/resource/5rpz-kgm9.json,none,annual,ACQUIRED,data/external/g1v2_official_annual/ (cargo_type=VESSEL CALLS trade_type=Container)
official_container_teu_monthly,§5,NS-G1,Monthly container TEU 6 gateways 2019-01..2023-08 (matches port-authority figures),BTS rd72-aq8r + iahn-a7j4,socrata_api,https://data.bts.gov/resource/rd72-aq8r.json,none,monthly,ACQUIRED,data/external/g1v2_official/ (SPB=LA+LB)
official_teu_monthly_gap5,§5,NS-G1,Monthly TEU for Baltimore/Philadelphia/Jacksonville/Miami/Port Everglades + 2024-2025 window,port authorities,pdf_portal,see per-port rows below,none,monthly,PARTIAL,not on any clean API; Everglades monthly PDF + Miami/Phila/Jax/MPA per-port
teu_port_everglades_monthly,§5,NS-G1,Port Everglades monthly loaded+total TEUs by fiscal year,Broward County Port Everglades,pdf,https://www.porteverglades.net/about-us/statistics/cargo-statistics/,none,monthly,AVAILABLE_PDF,"Monthly Loaded TEUs Report" PDF per FY; annual TEU 2015-2025 on cargo-statistics
teu_portmiami,§5,NS-G1,PortMiami annual TEU + cargo ships docked 2016-2025; monthly in quarterly scorecards,Miami-Dade PortMiami,html_pdf,https://www.miamidade.gov/portmiami/cargo.page,none,annual_monthly,AVAILABLE,annual TEU+calls in Historical Snapshot table; monthly = FY quarterly scorecard PDFs
teu_calls_port_of_virginia,§5,NS-G1,Port of Virginia monthly stats + weekly metrics + annual vessel calls,Virginia Port Authority,ckan_api_pdf,https://data.virginia.gov/dataset/port-of-virginia-weekly-metrics,none,weekly_monthly,AVAILABLE,data.virginia.gov CKAN API; operations.portofvirginia.com/port-statistics monthly; Norfolk already has BTS monthly TEU
teu_philaport,§5,NS-G1,PhilaPort container TEU statistics,PhilaPort,html_pdf,https://www.philaport.com/maritime/statistics/,none,annual_monthly,NEEDED,verify monthly availability
teu_jaxport,§5,NS-G1,JAXPORT container TEU statistics,JAXPORT,html_pdf,https://www.jaxport.com/cargo/statistics/,none,annual_monthly,NEEDED,verify monthly availability
teu_mpa_baltimore,§5,NS-G1,Maryland Port Administration container TEU,Maryland Port Administration,portal_pdf,https://www.mpa.maryland.gov/Pages/statistics.aspx,none,annual_monthly,NEEDED,opendata.maryland.gov has only General Cargo; container from MPA site
container_terminal_geometry,§5,NS-G1,Berth/anchor state zones (Pillar B),USACE port areas MINUS NOAA anchorages (local),derive_local,data/processed/state_zones_derived.geojson,none,static,DERIVED,src/process_ais/derive_berth_zones.py; SPB Pillar-B resolved coverage 30.4%->100%; anchor zones exist for SPB/NY-NJ/Savannah only; container-terminal-specific = refinement
gfw_vessel_presence,§6,NS-G2,Offshore vessel presence 5 gateways monthly 2019-2023,Global Fishing Watch API v3,rest_api,https://gateway.api.globalfishingwatch.org/v3/4wings/report,GFW_API_TOKEN,monthly,ACQUIRED_DEVELOPMENT,data/external/gfw/ contains all-vessel gateway products and inspected SPB cargo-only monthly rings; not speed-filtered and not confirmatory
gfw_spb_cargo_speed_bins,§5/6,NS-G1/2,Daily 0.1-degree SPB cargo presence for all seven official speed categories 2019-2023,Global Fishing Watch API v3,rest_api,https://gateway.api.globalfishingwatch.org/v3/4wings/report,GFW_API_TOKEN,daily_cell,ACQUIRED_VERIFIED,OSF 5sc3v approved before retrieval; 35 hash-verified v4.0 parquet files and receipt in data/external/gfw/spb_speed_bins/; smoke-test date 2021-12-01 excluded
